Datetime,kwh
17-02-2020 01:00,0.0677
17-02-2020 02:00,0.0497
17-02-2020 03:00,0.0462
17-02-2020 04:00,0.0642
17-02-2020 05:00,0.0681
17-02-2020 06:00,0.0461
17-02-2020 07:00,0.0487
17-02-2020 08:00,0.0686
17-02-2020 09:00,0.0669
17-02-2020 10:00,0.0668
17-02-2020 11:00,0.3654
17-02-2020 12:00,0.643
17-02-2020 13:00,0.1312
17-02-2020 14:00,0.1103
17-02-2020 15:00,0.105
17-02-2020 16:00,0.1589
17-02-2020 17:00,0.1356
17-02-2020 18:00,0.1299
17-02-2020 19:00,0.1552
17-02-2020 20:00,0.2713
17-02-2020 21:00,0.3218
17-02-2020 22:00,0.2391
17-02-2020 23:00,0.0546
18-02-2020 00:00,0.0993
18-02-2020 01:00,0.0973
18-02-2020 02:00,0.0822
18-02-2020 03:00,0.0875
18-02-2020 04:00,0.0932
18-02-2020 05:00,0.0966
18-02-2020 06:00,0.0934
18-02-2020 07:00,0.134
18-02-2020 08:00,0.0514
18-02-2020 09:00,0.0914
18-02-2020 10:00,0.1407
18-02-2020 11:00,0.0986
18-02-2020 12:00,0.1077
18-02-2020 13:00,0.0974
18-02-2020 14:00,0.0765
18-02-2020 15:00,0.0763
18-02-2020 16:00,0.0724
18-02-2020 17:00,0.005
18-02-2020 18:00,0.0883
18-02-2020 19:00,0.4422
18-02-2020 20:00,0.2778
18-02-2020 21:00,0.3066
18-02-2020 22:00,0.2538
18-02-2020 23:00,0.0904
19-02-2020 00:00,0.1007
19-02-2020 01:00,0.0961
19-02-2020 02:00,0.0926
19-02-2020 03:00,0.0795
19-02-2020 04:00,0.0962
19-02-2020 05:00,0.0997
19-02-2020 06:00,0.0805
19-02-2020 07:00,0.0834
19-02-2020 08:00,0.1287
19-02-2020 09:00,0.1413
19-02-2020 10:00,0.0995
19-02-2020 11:00,0.0938
19-02-2020 12:00,0.1401
19-02-2020 13:00,0.0839
19-02-2020 14:00,0.0906
19-02-2020 15:00,0.1616
19-02-2020 16:00,0.1796
19-02-2020 17:00,0.2857
19-02-2020 18:00,0.2369
19-02-2020 19:00,0.7534
19-02-2020 20:00,0.323
19-02-2020 21:00,0.3104
19-02-2020 22:00,0.2751
19-02-2020 23:00,0.12
20-02-2020 00:00,0.0919
20-02-2020 01:00,0.0847
20-02-2020 02:00,0.0921
20-02-2020 03:00,0.0988
20-02-2020 04:00,0.1042
20-02-2020 05:00,0.0918
20-02-2020 06:00,0.084
20-02-2020 07:00,0.084
20-02-2020 08:00,0.0961
20-02-2020 09:00,0.1421
20-02-2020 10:00,0.4234
20-02-2020 11:00,0.1411
20-02-2020 12:00,0.168
20-02-2020 13:00,0.2012
20-02-2020 14:00,0.1387
20-02-2020 15:00,0.1097
20-02-2020 16:00,0.145
20-02-2020 17:00,0.1925
20-02-2020 18:00,0.2469
20-02-2020 19:00,0.3093
20-02-2020 20:00,0.2628
20-02-2020 21:00,0.2478
20-02-2020 22:00,0.2096
20-02-2020 23:00,0.1276
21-02-2020 00:00,0.1316
21-02-2020 01:00,0.1144
21-02-2020 02:00,0.126
21-02-2020 03:00,0.1285
21-02-2020 04:00,0.1311
21-02-2020 05:00,0.0848
21-02-2020 06:00,0.0967
21-02-2020 07:00,0.0929
21-02-2020 08:00,0.149
21-02-2020 09:00,0.109
21-02-2020 10:00,0.1488
21-02-2020 11:00,0.1393
21-02-2020 12:00,0.3044
21-02-2020 13:00,0.2174
21-02-2020 14:00,0.1406
21-02-2020 15:00,0.147
21-02-2020 16:00,0.2378
21-02-2020 17:00,0.2226
21-02-2020 18:00,0.2959
21-02-2020 19:00,0.9191
21-02-2020 20:00,0.2736
21-02-2020 21:00,0.2932
21-02-2020 22:00,0.2786
21-02-2020 23:00,0.2009
22-02-2020 00:00,0.1685
22-02-2020 01:00,0.0845
22-02-2020 02:00,0.1066
22-02-2020 03:00,0.0995
22-02-2020 04:00,0.0775
22-02-2020 05:00,0.0997
22-02-2020 06:00,0.0956
22-02-2020 07:00,0.082
22-02-2020 08:00,0.106
22-02-2020 09:00,0.1772
22-02-2020 10:00,0.1992
22-02-2020 11:00,0.2024
22-02-2020 12:00,0.1028
22-02-2020 13:00,0.1072
22-02-2020 14:00,0.1248
22-02-2020 15:00,0.6158
22-02-2020 16:00,0.707
22-02-2020 17:00,0.262
22-02-2020 18:00,0.3258
22-02-2020 19:00,0.1369
22-02-2020 20:00,0.1152
22-02-2020 21:00,0.1338
22-02-2020 22:00,0.1337
22-02-2020 23:00,0.3476
23-02-2020 00:00,0.0825
23-02-2020 01:00,0.1026
23-02-2020 02:00,0.0821
23-02-2020 03:00,0.0956
23-02-2020 04:00,0.0965
23-02-2020 05:00,0.076
23-02-2020 06:00,0.1051
23-02-2020 07:00,0.0997
23-02-2020 08:00,0.0367
23-02-2020 09:00,0.1181
23-02-2020 10:00,0.1354
23-02-2020 11:00,0.1485
23-02-2020 12:00,0.1377
23-02-2020 13:00,0.229
23-02-2020 14:00,0.0812
23-02-2020 15:00,0.0997
23-02-2020 16:00,0.0984
23-02-2020 17:00,0.1121
23-02-2020 18:00,0.1227
23-02-2020 19:00,0.1338
23-02-2020 20:00,0.1307
23-02-2020 21:00,0.9786
23-02-2020 22:00,0.1011
23-02-2020 23:00,0.0837
24-02-2020 00:00,0.087
24-02-2020 01:00,0.0982
24-02-2020 02:00,0.072
24-02-2020 03:00,0.0998
24-02-2020 04:00,0.0943
24-02-2020 05:00,0.0764
24-02-2020 06:00,0.1072
24-02-2020 07:00,0.077
24-02-2020 08:00,0.1737
24-02-2020 09:00,0.1836
24-02-2020 10:00,0.1894
24-02-2020 11:00,0.1783
24-02-2020 12:00,0.3457
24-02-2020 13:00,0.1338
24-02-2020 14:00,0.2373
24-02-2020 15:00,0.2512
24-02-2020 16:00,0.2309
24-02-2020 17:00,0.2318
24-02-2020 18:00,0.247
24-02-2020 19:00,0.3076
24-02-2020 20:00,0.3303
24-02-2020 21:00,0.1779
24-02-2020 22:00,0.1089
24-02-2020 23:00,0.0963
25-02-2020 00:00,0.0993
25-02-2020 01:00,0.0973
25-02-2020 02:00,0.0822
25-02-2020 03:00,0.0875
25-02-2020 04:00,0.0932
25-02-2020 05:00,0.0966
25-02-2020 06:00,0.0934
25-02-2020 07:00,0.134
25-02-2020 08:00,0.1316
25-02-2020 09:00,0.1324
25-02-2020 10:00,0.1929
25-02-2020 11:00,0.3687
25-02-2020 12:00,0.1645
25-02-2020 13:00,0.1356
